stock_ticker,test_rmse,test_rmse_x492
CSX,0.06688202407446545,32.905955844637
CMI,0.07083516623336199,34.8509017868141
CVS,0.06053842851402475,29.784906828900176
DHR,0.06325202118468763,31.119994422866316
DRI,0.07170859912561779,35.280630769803956
DVA,0.07782953141242765,38.29212945491441
DAY,0.0689594718755372,33.928060162764304
DECK,0.058488584573585155,28.776383610203897
DE,0.08156620173368476,40.1305712529729
DAL,0.07706511659624792,37.91603736535397
DVN,0.05227377047405695,25.71869507323602
DXCM,0.07525783284158044,37.02685375805758
FANG,0.07515897444313793,36.978215426023866
DLR,0.08136696223513296,40.03254541968541
DFS,0.04679145979184274,23.021398217586626
DG,0.03667659639382792,18.044885425763336
DLTR,0.12204597127415778,60.046617866885626
D,0.055579727811481835,27.345226083249063
DPZ,0.09940946639224743,48.909457464985735
DOV,0.05063452157013046,24.912184612504184
